date,person ,risk,potential,ben_bet,gabe_bet,ben_line,outcome,money_outcome,over_under,category,settled
8/25/2017,gabe,100,100,florida_rank,michigan_rank,NA,P,0,NA,cfb_season,yes
8/25/2017,gabe,100,100,fantasty_football,fantasy_football,NA,L,-100,NA,fantasy_football,yes
8/30/2017,gabe,20,20,florida,michigan,3.5,L,-20,NA,cfb,yes
8/30/2017,gabe,20,20,alabama,fsu,-7,W,20,NA,cfb,yes
8/30/2017,gabe,20,20,vanderbilt,mtsu,-3.5,W,20,NA,cfb,yes
8/30/2017,gabe,20,20,texas_a&m,ucla,4,W,20,NA,cfb,yes
8/30/2017,gabe,20,20,viriniga_tech,west_virginia,-4,W,20,NA,cfb,yes
8/30/2017,gabe,20,20,byu,lsu,16.5,L,-20,NA,cfb,yes
8/30/2017,gabe,20,20,houston,texas_sa,-11,P,0,NA,cfb,yes
8/30/2017,gabe,20,20,southern_miss,kentucky,10,W,20,NA,cfb,yes
8/30/2017,gabe,20,20,gerogia,app_state,-14.5,W,20,NA,cfb,yes
8/30/2017,gabe,20,20,olemiss,south_alabama,-23.5,L,-20,NA,cfb,yes
9/8/2017,gabe,20,20,nebraska,oregon,13.5,W,20,NA,cfb,yes
9/8/2017,gabe,20,20,cinn,michigan,34,W,20,NA,cfb,yes
9/8/2017,gabe,20,20,unc,louisville,9.5,L,-20,NA,cfb,yes
9/8/2017,gabe,20,20,pitt,penn_state,21,W,20,NA,cfb,yes
9/8/2017,gabe,20,20,alabama,fresnost,-44,L,-20,NA,cfb,yes
9/8/2017,gabe,20,20,arkansas,tcu,3,L,-20,NA,cfb,yes
9/8/2017,gabe,20,20,auburn,clemson,5,L,-20,NA,cfb,yes
9/8/2017,gabe,20,20,georgia,nd,5.5,W,20,NA,cfb,yes
9/8/2017,gabe,20,20,miss_state,louisiana_tech,-9.5,W,20,NA,cfb,yes
9/8/2017,gabe,20,20,ohio_state,oklahoma,-7.5,L,-20,NA,cfb,yes
9/8/2017,gabe,20,20,southern_cal,stanford,-5.5,W,20,NA,cfb,yes
9/10/2017,gabe,40,40,colts,rams,3.5,L,-40,NA,nfl,yes
9/10/2017,gabe,40,40,panthers,49ers,-4.5,W,40,NA,nfl,yes
9/10/2017,gabe,40,40,jets,bills,7.5,L,-40,NA,nfl,yes
9/10/2017,gabe,40,40,falcons,bears,-6.5,L,-40,NA,nfl,yes
9/10/2017,gabe,40,40,texans,jags,-5,L,-40,NA,nfl,yes
9/10/2017,gabe,40,40,eagles,redskins,-1,W,40,NA,nfl,yes
9/10/2017,gabe,40,40,cards,lions,-2.5,L,-40,NA,nfl,yes
9/10/2017,gabe,40,40,titans,raiders,-2.5,L,-40,NA,nfl,yes
9/10/2017,gabe,40,40,buccs,dolphins,-2.5,P,0,NA,nfl,yes
9/10/2017,gabe,40,40,browns,steelers,10,W,40,NA,nfl,yes
9/10/2017,gabe,40,40,packers,seahawks,-3,W,40,NA,nfl,yes
9/10/2017,gabe,40,40,giants,cowboys,4,L,-40,NA,nfl,yes
9/10/2017,gabe,40,40,vikings,saints,-3,W,40,NA,nfl,yes
9/10/2017,gabe,100,100,broncos,chargers,-2.5,W,100,NA,nfl,yes
9/16/2017,gabe,20,20,south_carolina,kentucky,-6.5,L,-20,NA,cfb,yes
9/16/2017,gabe,20,20,nd,bc,-13,W,20,NA,cfb,yes
9/16/2017,gabe,20,20,michigan,airforce,-23.5,L,-20,NA,cfb,yes
9/16/2017,gabe,20,20,ucla,memphis,-3,L,-20,NA,cfb,yes
9/16/2017,gabe,20,20,tennessee,florida,4.5,L,-20,NA,cfb,yes
9/16/2017,gabe,20,20,alabama,colorado_state,-28.5,L,-20,NA,cfb,yes
9/16/2017,gabe,20,20,miss_st,lsu,7.5,W,20,NA,cfb,yes
9/16/2017,gabe,20,20,vanderbilt,ksu,4,W,20,NA,cfb,yes
9/16/2017,gabe,20,20,texas,southern_cal,15.5,W,20,NA,cfb,yes
9/16/2017,gabe,20,20,ole_miss,cal,-3.5,L,-20,NA,cfb,yes
9/16/2017,gabe,20,20,louisville,clemson,3,L,-20,NA,cfb,yes
9/17/2017,gabe,20,20,titans,jags,-2,W,20,NA,nfl,yes
9/17/2017,gabe,20,20,browns,ravens,8,L,-20,NA,nfl,yes
9/17/2017,gabe,20,20,panthers,bills,-7,L,-20,NA,nfl,yes
